Country1,Country2
France,Russia
France,Germany
Russia,Germany
Russia,Germany
Russia,Russia
Germany,Russia
Germany,Germany
Germany,Germany
Germany,Germany
Germany,Germany
Germany,Germany
France,France
France,Germany
France,Germany
France,France
Japan,Germany
Japan,Japan
Japan,Russia
Japan,Germany
Germany,Japan
Germany,Russia
Germany,Germany
Japan,Russia
Japan,Germany
Russia,Germany
France,Germany
France,Germany
France,Germany
Germany,Germany
Germany,Japan
Germany,China
Japan,China
Japan,China
Japan,Japan
Japan,Japan
Japan,Japan
Japan,Germany
China,Japan
China,Japan
China,Japan
China,Germany
Japan,Japan
Japan,Japan
Japan,Germany
Japan,Japan
Japan,Germany
Japan,Germany
Japan,Japan
Japan,Japan
Japan,Japan
Japan,India
Japan,Japan
Japan,Japan
Japan,India
Japan,Japan
Japan,India
Japan,Japan
India,Japan
Japan,China
Japan,Japan
Russia,France
Russia,China
Russia,India
France,China
France,India
China,India
Germany,France
Germany,Japan
Germany,Japan
France,Japan
France,Japan
Japan,Japan
India,India
India,India
India,France
India,India
India,France
India,France
Russia,Japan
China,India
